SR. NO.,Tehsil,Qanoongoi,Mauza,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
15310,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,76-78,1-4;8-10,,3259716,Acre,470
15311,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,28-30,"13-14;16-17;2-4;24-25;7-
8",,3259716,Acre,470
15312,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,4-Jan,17-24,,3259716,Acre,470
15313,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,38-39;81-97,25-Jan,,3259716,Acre,470
15314,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,52;54-57,25;15-16,,3259716,Acre,470
15315,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,67-70,1-4;8-12,,3259716,Acre,470
15316,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,35-36,16-25;2-4,,3259716,Acre,470
15317,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,2-Jan,16;25,,3259716,Acre,470
15318,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,28-32;71-73,15;5-6,,3259716,Acre,470
15319,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,52-57,14;17;5-7,,3259716,Acre,470
15320,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,12-Nov,18;22-24;1-5,,3259716,Acre,470
15321,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,55-57,18-24;9-12,,3259716,Acre,470
15322,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,67-68,19-25,,3259716,Acre,470
15323,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,22-24,20-22,,3259716,Acre,470
15324,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,46-49,1-2;19-22;9-12,,3259716,Acre,470
15325,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,67-69,13-18;5-7,,3259716,Acre,470
15326,Depal Pur,Jahangeer Abad,Mahnt Darshan,Agricultural,Off Road,53-57,8;13;1-3,,3259716,Acre,470
15327,Depal Pur,Jahangeer Abad,Mahnt Darshan,Commercial,Main Road,14,17-19;23-25,,246437,Marla,1445
15328,Depal Pur,Jahangeer Abad,Mahnt Darshan,Commercial,Main Road,26,3-Jan,,246437,Marla,1445
15329,Depal Pur,Jahangeer Abad,Mahnt Darshan,Commercial,Main Road,27,5,,246437,Marla,1445
15330,Depal Pur,Jahangeer Abad,Mahnt Darshan,Commercial,Main Road,60,21-23,,246437,Marla,1445
15331,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Link Road,15,1-19;24-25,,47606,Marla,780
15332,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Link Road,21,24-25;6-17,,47606,Marla,780
15333,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Link Road,27,19-25;6-17,,47606,Marla,780
15334,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Link Road,27,4;18,,85412,Marla,780
15335,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Link Road,5,6;11-17;19-25,,47606,Marla,780
15336,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Link Road,79,11-12;18-19,,47606,Marla,780
15337,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Link Road,20-21,18-23,,47606,Marla,780
15338,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Link Road,79-80,1-10;13-15,,47606,Marla,780
15339,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Link Road,33-34;40-42;65-66;74-75,25-Jan,,47606,Marla,780
15340,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,13,1-3;6-8,,246437,Marla,780
15341,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,13,16;11-12,,50407,Marla,780
15342,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,14,16,,85412,Marla,780
15343,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,14,1-3;6-8,,50407,Marla,780
15344,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,14,12-Nov,,246437,Marla,780
15345,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,25,20;22,,246437,Marla,780
15346,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,26,16;6-9;1-3,,246437,Marla,780
15347,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,26,10-15;17-24,,50407,Marla,780
15348,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,27,5,,47606,Marla,780
15349,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,27,3-Jan,,50407,Marla,780
15350,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,62,20-21,,246437,Marla,780
15351,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,63,18;24-25;10-12,,246437,Marla,780
15352,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,64,18;24-25;10-12,,50407,Marla,780
15353,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,7,11-13;15-25,,50407,Marla,780
15354,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,8,11-13;16-20,,246437,Marla,780
15355,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,9,11-13;16-25,,50407,Marla,780
15356,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,9,14-15,,246437,Marla,780
15357,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,8-Jul,14,,50407,Marla,780
15358,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,13-14,13-15;17-25;4-5;9-10,,50407,Marla,780
15359,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,63-64,1-9;13-17;19-23,,50407,Marla,780
15360,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,58-59,2;9-14;17-23,,50407,Marla,780
15361,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,10-Jul,6-May,,50407,Marla,780
15362,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,9-Jul,1-4;7-10,,50407,Marla,780
15363,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,37;43-45,25-Jan,,50407,Marla,780
15364,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Main Road,58-60,1;15-16;24-25;3-8,,50407,Marla,780
15365,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,11,19,,40605,Marla,780
15366,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,11,25;6-7;14-17,,37852,Marla,780
15367,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,12,25;6-17;20-21,,40605,Marla,780
15368,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,15,20,,85412,Marla,780
15369,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,15,20-23,,37852,Marla,780
15370,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,16,14-16;3-8,,40605,Marla,780
15371,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,19,20,,40605,Marla,780
15372,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,25,21,,37852,Marla,780
15373,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,26,25;3-6,,37852,Marla,780
15374,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,26,5-Apr,,246437,Marla,780
15375,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,32,1-4;16-25;7-14,,40605,Marla,780
15376,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,35,15;5-6,,37852,Marla,780
15377,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,36,12;15;5-9,,40605,Marla,780
15378,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,36,1;10-11;13-14,,37852,Marla,780
15379,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,4,25;6-16,,40605,Marla,780
15380,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,51,2,,40605,Marla,780
15381,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,53,18-23;9-12,,40605,Marla,780
15382,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,6,1-4;6-25,,40605,Marla,780
15383,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,60,14;17-18,,37852,Marla,780
15384,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,61,12-25;8-9,,40605,Marla,780
15385,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,73,1-2;16-25;8-14,,40605,Marla,780
15386,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,76,21-25,,40605,Marla,780
15387,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,35;62,1,,40605,Marla,780
15388,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,18;71,16,,40605,Marla,780
15389,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,16-19,21,,40605,Marla,780
15390,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,52-53,24,,40605,Marla,780
15391,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,46-51,3,,40605,Marla,780
15392,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,46-57,4,,40605,Marla,780
15393,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,76-77,11-20;5-7,,40605,Marla,780
15394,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,22-25,1-19;23-25,,40605,Marla,780
15395,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,2-Jan,16;25,,40605,Marla,780
15396,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,28-32;71-73,15;5-6,,40605,Marla,780
15397,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,67-68,19-25,,40605,Marla,780
15398,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,72-73,7;3-4,,40605,Marla,780
15399,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,16-18,22-25,,40605,Marla,780
15400,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,35-36,16-25;2-4,,40605,Marla,780
15401,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,67-70,1-4;8-12,,40605,Marla,780
15402,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,16-17,1-2;17-20;9-13,,40605,Marla,780
15403,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,52;54-57,25;15-16,,40605,Marla,780
15404,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,28-29,1;18-23;9-12,,40605,Marla,780
15405,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,22-24,20-22,,40605,Marla,780
15406,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,4-Jan,17-24,,40605,Marla,780
15407,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,53-57,8;13;1-3,,40605,Marla,780
15408,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,76-78,1-4;8-10,,40605,Marla,780
15409,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,12-Nov,18;22-24;1-5,,40605,Marla,780
15410,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,61-62,11-Oct,,40605,Marla,780
15411,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,46-49,1-2;19-22;9-12,,40605,Marla,780
15412,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,52-57,14;17;5-7,,40605,Marla,780
15413,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,55-57,18-24;9-12,,40605,Marla,780
15414,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,28-30,"13-14;16-17;2-4;24-25;7-
8",,40605,Marla,780
15415,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,38-39;81-97,25-Jan,,40605,Marla,780
15416,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,46-50,13-18;23-25;5-8,,40605,Marla,780
15417,Depal Pur,Jahangeer Abad,Mahnt Darshan,Residential,Off Road,67-69,13-18;5-7,,40605,Marla,780
15418,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,18,15-16,,1968708,Acre,510
15419,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,2,16-17;20-21,,1968708,Acre,510
15420,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,20,4;6-24,,1968708,Acre,510
15421,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,25,"1;22;24;26-27;3-4;7-
8;14-15;18-20",,1968708,Acre,510
15422,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,27,20-21,,1968708,Acre,510
15423,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,28,12;15-16,,1968708,Acre,510
15424,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,29,2;7;10;21;23,,1968708,Acre,510
15425,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,4,1/1;1/2;1/3,,1968708,Acre,510
15426,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,5,1-8;12-19;22-28,,1968708,Acre,510
15427,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,7,16,,1968708,Acre,510
15428,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,8,"14;17;23-24;5-
7;16/1;16/2",,1968708,Acre,510
15429,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,25-26,2,,1968708,Acre,510
15430,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,15-Nov,20,,1968708,Acre,510
15431,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,16-Nov,21,,1968708,Acre,510
15432,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,3-Jan,22,,1968708,Acre,510
15433,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,19-20,25,,1968708,Acre,510
15434,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,13-16,23-25,,1968708,Acre,510
15435,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,2-Jan,18-19;23-25,,1968708,Acre,510
15436,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,15-Dec,19;22;9-12,,1968708,Acre,510
15437,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,5-Apr,20-21;9-11,,1968708,Acre,510
15438,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,14-15,5-Jan,,1968708,Acre,510
15439,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,13-15,13-18;6-8,,1968708,Acre,510
15440,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,28-29,"1;3;5;8;11;17;19;22;24-
25",,1968708,Acre,510
15441,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Link Road,8-Jul,15;25,,1968708,Acre,510
15442,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,16,22,,1968708,Acre,510
15443,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,18,17;23-25,,1968708,Acre,510
15444,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,20,3;5,,1968708,Acre,510
15445,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,22,5-Jan,,1475836,Acre,470
15446,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,25,9;23;25;5-6;12-13;16-17,,1968708,Acre,510
15447,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,28,2;7;21;23,,1968708,Acre,510
15448,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,29,12;15-16,,1968708,Acre,510
15449,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,36,7;1-5,,1475836,Acre,470
15450,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,70,8;12-13;17-19;23-24,,1475836,Acre,470
15451,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,24-33;63-64,1,,1475836,Acre,470
15452,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,26-27,1,,1968708,Acre,510
15453,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,25-28,10,,1968708,Acre,510
15454,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,60-68,11,,1475836,Acre,470
15455,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,25-27,11,,1968708,Acre,510
15456,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,28-49,15,,1475836,Acre,470
15457,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,64-65,2,,1475836,Acre,470
15458,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,25-26,21,,1968708,Acre,510
15459,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,63-70,22,,1475836,Acre,470
15460,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,71-81,25,,1475836,Acre,470
15461,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,28-36,6,,1475836,Acre,470
15462,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,77-82,22-23,,1475836,Acre,470
15463,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,83-115,10;12,,1475836,Acre,470
15464,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,28-29,4;6;9;18;20;13-14,,1968708,Acre,510
15465,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,38-49,7;1-2,,1475836,Acre,470
15466,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,72-81,24;4-7;14-17,,1475836,Acre,470
15467,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,6;9-10,25-Jan,,1475836,Acre,470
15468,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,24-26,5-Feb,,1475836,Acre,470
15469,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,64-68,13-17;24-25;3-8,,1475836,Acre,470
15470,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,63-68,12;23;9-10;18-19,,1475836,Acre,470
15471,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,36-48,18-22,,1475836,Acre,470
15472,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,28-34,7;16;18;4-5;13-14,,1475836,Acre,470
15473,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,81;52-57;67-68;77-79,2-Jan,,1475836,Acre,470
15474,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,36-49,16;8-14,,1475836,Acre,470
15475,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,84-115,1-9;13-18;22-25,,1475836,Acre,470
15476,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,77-115,11;19-21,,1475836,Acre,470
15477,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,52-58,25-Jul,,1475836,Acre,470
15478,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,60-70,20-21,,1475836,Acre,470
15479,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,38-58,4-Mar,,1475836,Acre,470
15480,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,60-61,1-4;12-19;22-25;7-10,,1475836,Acre,470
15481,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,21-26,12-19;6-9,,1475836,Acre,470
15482,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,21-33,10-11;20-21,,1475836,Acre,470
15483,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,28-48,17;23-25,,1475836,Acre,470
15484,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,28-33,12;19;22;8-9;2-3,,1475836,Acre,470
15485,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,72-74,1-3;18-23;8-13,,1475836,Acre,470
15486,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,21-25,22-25,,1475836,Acre,470
15487,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,77-81,3;18;12-13;8-10,,1475836,Acre,470
15488,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Agricultural,Off Road,38-61,6-May,,1475836,Acre,470
15489,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,16,21;23-25,,56008,Marla,780
15490,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,18,15-16,,56008,Marla,780
15491,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,2,16-17;20-21,,37852,Marla,780
15492,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,20,4;6-24,,37852,Marla,780
15493,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,25,6;9;20;24-27;12-13;16-18,,37852,Marla,780
15494,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,26,2,,37852,Marla,780
15495,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,27,20,,37852,Marla,780
15496,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,28,2;7;9;17;25,,37852,Marla,780
15497,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,29,6;18;20;22,,37852,Marla,780
15498,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,4,1/1;1/2;1/3,,37852,Marla,780
15499,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,5,1-8;12-19;22-28,,37852,Marla,780
15500,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,7,16,,37852,Marla,780
15501,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,8,"14;17;23-24;5-
7;16/1;16/2",,37852,Marla,780
15502,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,3-Jan,22,,37852,Marla,780
15503,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,19-20,25,,37852,Marla,780
15504,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,14-15,5-Jan,,37852,Marla,780
15505,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,28-29,21;24;3-4;12-15,,37852,Marla,780
15506,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,15-Dec,19;22;9-12,,37852,Marla,780
15507,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,13-15,13-18;23-25;6-8,,37852,Marla,780
15508,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,2-Jan,18-19;23-25,,37852,Marla,780
15509,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,5-Apr,20-21;9-11,,37852,Marla,780
15510,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,15-Nov,20-21,,37852,Marla,780
15511,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,8-Jul,15;25,,37852,Marla,780
15512,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,25-26,1;21,,37852,Marla,780
15513,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Link Road,26-28,11-Oct,,37852,Marla,780
15514,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,16,26;2-10,,56008,Marla,780
15515,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,18,23-25,,56008,Marla,780
15516,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,20,3;5,,56008,Marla,780
15517,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,22,5-Jan,,37852,Marla,780
15518,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,26,6;9;20;12-13;16-18,,37852,Marla,780
15519,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,27,21,,37852,Marla,780
15520,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,28,6;18;20;22,,37852,Marla,780
15521,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,36,4-Feb,,37852,Marla,780
15522,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,70,18;23-24;12-13,,37852,Marla,780
15523,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,"24;27-33;27-36;38-
57;60-64;67-74;72-
79;81-115",1,,37852,Marla,780
15524,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,30-49,15,,37852,Marla,780
15525,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,70-81,17,,37852,Marla,780
15526,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,63-70,19,,37852,Marla,780
15527,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,"81;24-25;38-49;52-
57;64-65;67-68;77-79",2,,37852,Marla,780
15528,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,17-18,21,,56008,Marla,780
15529,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,"30-28;36-33;52-48;60-
58;63-61;72-70;77-
74;84-82",22,,37852,Marla,780
15530,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,77-82,23,,37852,Marla,780
15531,Depal Pur,Jahangeer Abad,Malhoo Shekho Ka,Residential,Off Road,30-48,24,,37852,Marla,780
